1.63E+12,1.591,7.508,4.195,0,,,,,,,,,,,,,
1.63E+12,1.354,6.984,6.443,0,,,,,,,,,,,,,
1.63E+12,0.765,7.092,6.895,0,,,,,,,,,,,,,
1.63E+12,0.815,6.74,6.953,0,,,,,,,,,,,,,
1.63E+12,0.916,6.984,6.615,0,,,,,,,,,,,,,
1.63E+12,0.93,7.02,6.931,0,,,,,,,,,,,,,
1.63E+12,1.347,6.826,6.823,0,,,,,,,,,,,,,
1.63E+12,1.361,6.862,6.78,0,,,,,,,,,,,,,
1.63E+12,1.304,6.898,6.96,0,,,,,,,,,,,,,
1.63E+12,1.455,6.718,6.852,0,,,,,,,,,,,,,
1.63E+12,1.483,6.855,7.082,0,,,,,,,,,,,,,
1.63E+12,1.397,6.998,6.91,0,,,,,,,,,,,,,
1.63E+12,1.462,6.84,6.737,0,,,,,,,,,,,,,
1.63E+12,1.031,6.926,7.075,0,,,,,,,,,,,,,
1.63E+12,1.289,6.984,6.845,0,,,,,,,,,,,,,
1.63E+12,1.519,6.697,6.68,0,,,,,,,,,,,,,
1.63E+12,1.404,6.898,6.852,0,,,,,,,,,,,,,
1.63E+12,1.031,6.905,7.104,0,,,,,,,,,,,,,
1.63E+12,0.557,6.74,7.061,0,,,,,,,,,,,,,
1.63E+12,0.176,6.84,6.809,0,,,,,,,,,,,,,
1.63E+12,-0.218,4.276,7.585,0,,,,,,,,,,,,,
1.63E+12,-0.613,2.703,9.323,0,,,,,,,,,,,,,
1.63E+12,-1.748,2.552,9.323,0,,,,,,,,,,,,,
1.63E+12,-2.265,2.66,8.605,0,,,,,,,,,,,,,
1.63E+12,-2.624,3.098,8.899,0,,,,,,,,,,,,,
1.63E+12,-2.071,3.73,8.325,0,,,,,,,,,,,,,
1.63E+12,-2.121,4.535,9.991,0,,,,,,,,,,,,,
1.63E+12,-1.03,6.064,6.486,0,,,,,,,,,,,,,
1.63E+12,-0.311,6.704,7.19,0,,,,,,,,,,,,,
1.63E+12,0.887,6.991,7.298,0,,,,,,,,,,,,,
1.63E+12,0.88,6.991,6.364,0,,,,,,,,,,,,,
1.63E+12,0.499,6.646,6.831,0,,,,,,,,,,,,,
1.63E+12,0.657,6.998,6.867,0,,,,,,,,,,,,,
1.63E+12,0.665,6.804,6.823,0,,,,,,,,,,,,,
1.63E+12,0.858,6.869,6.809,0,,,,,,,,,,,,,
1.63E+12,0.765,6.783,7.147,0,,,,,,,,,,,,,
1.63E+12,0.672,6.811,7.061,0,,,,,,,,,,,,,
1.63E+12,0.521,6.704,7.908,0,,,,,,,,,,,,,
1.63E+12,0.93,8.076,7.477,0,,,,,,,,,,,,,
1.63E+12,0.506,7.372,6.974,0,,,,,,,,,,,,,
1.63E+12,1.261,6.452,5.516,0,,,,,,,,,,,,,
1.63E+12,0.506,6.086,7.815,0,,,,,,,,,,,,,
1.63E+12,-0.304,5.906,8.224,0,,,,,,,,,,,,,
1.63E+12,-1.418,6.438,5.193,0,,,,,,,,,,,,,
1.63E+12,1.656,5.389,6.342,0,,,,,,,,,,,,,
1.63E+12,-1.798,8.212,4.985,0,,,,,,,,,,,,,
1.63E+12,-0.929,7.702,5.854,0,,,,,,,,,,,,,
1.63E+12,-0.161,7.58,5.667,0,,,,,,,,,,,,,
1.63E+12,-0.218,8.09,4.381,0,,,,,,,,,,,,,
1.63E+12,-0.161,8.492,4.381,0,,,,,,,,,,,,,
1.63E+12,-1.504,9.311,3.534,0,,,,,,,,,,,,,
1.63E+12,-0.577,9.261,3.11,0,,,,,,,,,,,,,
1.63E+12,1.376,8.909,5.351,0,,,,,,,,,,,,,
1.63E+12,-0.627,8.794,4.927,0,,,,,,,,,,,,,
1.63E+12,-0.29,8.607,5.164,0,,,,,,,,,,,,,
1.63E+12,-0.699,8.413,5.092,0,,,,,,,,,,,,,
1.63E+12,0.542,6.833,6.895,0,,,,,,,,,,,,,
1.63E+12,0.234,7.422,8.174,0,,,,,,,,,,,,,
1.63E+12,0.427,7.573,6.852,0,,,,,,,,,,,,,
1.63E+12,-1.884,6.732,10.63,0,,,,,,,,,,,,,
1.63E+12,-1.611,7.278,10.875,0,,,,,,,,,,,,,
1.63E+12,-0.893,6.876,6.931,0,,,,,,,,,,,,,
1.63E+12,-0.965,6.603,7.204,0,,,,,,,,,,,,,
1.63E+12,-1.044,6.675,7.147,0,,,,,,,,,,,,,
1.63E+12,-1.109,6.718,7.017,0,,,,,,,,,,,,,
