1.62569E+12,0.535,6.064,7.865,0
1.62569E+12,0.521,6.029,7.908,0
1.62569E+12,0.557,6.029,7.843,0
1.62569E+12,0.521,6.093,7.736,0
1.62569E+12,0.506,6.043,7.836,0
1.62569E+12,0.492,6.029,7.887,0
1.62569E+12,0.6,6.072,7.944,0
1.62569E+12,0.521,6.036,7.858,0
1.62569E+12,0.535,6.064,7.836,0
1.62569E+12,0.6,6.036,7.678,0
1.62569E+12,0.535,6.072,7.822,0
1.62569E+12,0.55,6.093,7.865,0
1.62569E+12,0.564,6.086,7.822,0
1.62569E+12,0.629,6.064,7.793,0
1.62569E+12,0.528,6.086,7.8,0
1.62569E+12,0.521,6.064,7.951,0
1.62569E+12,0.506,6.043,7.822,0
1.62569E+12,0.528,6.043,7.822,0
1.62569E+12,0.535,6.072,7.843,0
1.62569E+12,0.528,6.057,8.073,0
1.62569E+12,0.435,6.151,7.678,0
1.62569E+12,0.557,6.158,7.815,0
1.62569E+12,0.535,6.072,7.815,0
1.62569E+12,0.542,6.021,7.793,0
1.62569E+12,0.535,6.064,7.836,0
1.62569E+12,0.542,6.086,7.8,0
1.62569E+12,0.55,6.043,7.843,0
1.62569E+12,0.499,6.043,7.793,0
1.62569E+12,0.478,6.122,8.016,0
1.62569E+12,0.499,6.036,7.865,0
1.62569E+12,0.535,6.1,7.779,0
1.62569E+12,0.722,6.043,7.628,0
1.62569E+12,0.492,6,7.779,0
1.62569E+12,0.629,6.108,7.75,0
1.62569E+12,0.571,6.093,7.779,0
1.62569E+12,0.442,6.093,7.865,0
1.62569E+12,0.564,6.064,7.793,0
1.62569E+12,0.542,6.036,7.779,0
1.62569E+12,0.55,6.043,7.8,0
1.62569E+12,0.528,6.036,7.757,0
1.62569E+12,0.564,6.093,7.657,0
1.62569E+12,0.492,6.064,7.75,0
1.62569E+12,0.571,6.057,7.901,0
1.62569E+12,0.6,6.086,7.836,0
1.62569E+12,0.585,6.064,7.736,0
1.62569E+12,0.535,6.1,7.721,0
1.62569E+12,0.557,6.007,7.772,0
1.62569E+12,0.564,6.057,7.822,0
1.62569E+12,0.485,6.072,7.973,0
1.62569E+12,0.564,6.057,7.843,0
1.62569E+12,0.55,6.086,7.822,0
1.62569E+12,0.499,6.122,7.65,0
1.62569E+12,0.471,6.043,7.793,0
1.62569E+12,0.585,6.1,7.793,0
1.62569E+12,0.478,6.086,7.757,0
1.62569E+12,0.55,6.043,7.901,0
1.62569E+12,0.557,6.064,7.879,0
1.62569E+12,0.535,6.036,7.879,0
1.62569E+12,0.557,6.064,7.843,0
1.62569E+12,1.11,4.068,8.878,0
1.62569E+12,0.952,4.111,9.043,0
1.62569E+12,0.995,4.104,9.043,0
1.62569E+12,0.858,4.139,9.093,0
1.62569E+12,0.966,4.154,8.892,0
1.62569E+12,0.916,4.118,8.986,0
1.62569E+12,0.902,4.132,8.921,0
1.62569E+12,1.139,3.974,9.294,0
1.62569E+12,0.88,4.075,8.978,0
1.62569E+12,0.858,3.981,9.093,0
1.62569E+12,0.851,3.917,9,0
1.62569E+12,0.844,3.996,8.598,0
1.62569E+12,0.844,3.924,9.129,0
1.62569E+12,0.744,3.895,9.51,0
1.62569E+12,0.787,3.931,9.215,0
