acc_x,acc_y,acc_z,orientation,label
-1.018811160960239e-23,-9.399063920689969e-23,3.7844607964068915e-21,0,0
-1.3024921129641377e-23,-1.980622539297884e-22,1.892989744651665e-21,0,0
-1.1255728095638568e-23,-1.3193461886146058e-22,3.1194668337270966e-21,0,0
-1.2597874535226906e-23,-1.8247591747045299e-22,2.1738965293362115e-21,0,0
-1.5007637460851422e-23,-2.7449958180201206e-22,4.2165146372358045e-22,0,0
-9.089991795393748e-24,-4.9641022367321124e-23,4.679315067846694e-21,0,0
-1.3024921129641377e-23,-1.9916037374399704e-22,1.84336305203825e-21,0,0
-8.336559589533931e-23,-2.8228838076650072e-21,-4.686784014655564e-20,0,0
-5.58210905556059e-24,8.474954247260644e-23,7.285421944363306e-21,0,0
-6.222678947182297e-24,6.306297249717509e-23,6.924210904411013e-21,0,0
-1.1499754721018265e-23,-1.4227475326232933e-22,2.9224652343040158e-21,0,0
-1.2811397832434141e-23,-1.8970477412893014e-22,2.0734623615290182e-21,0,0
-1.1926801315432737e-23,-1.5719001650187055e-22,2.6670578738852596e-21,0,0
-1.1713278018225501e-23,-1.5084575636039485e-22,2.7660296721449584e-21,0,0
-1.345196772405585e-23,-2.1538728009495413e-22,1.5551672682756746e-21,0,0
-2.4646689163349493e-23,-6.396659196236918e-22,-6.487009278562862e-21,0,0
-9.944084984222692e-24,-7.266930666394441e-23,4.435482212445262e-21,0,0
-1.3238444426848614e-23,-2.0834144340551185e-22,1.6613364321664864e-21,0,0
-1.2811397832434141e-23,-1.9080289394313878e-22,2.026031908544021e-21,0,0
-2.025420990651493e-23,-4.72516570531325e-22,-3.2780343717751783e-21,0,0
-1.2140324612639973e-23,-1.6508994638014186e-22,2.508119680729672e-21,0,0
-7.534322058598173e-24,8.617186150907866e-24,5.77076851132255e-21,0,0
-1.784444698089041e-23,-3.8095045612235276e-22,-1.5464696366954835e-21,0,0
-1.4763610835471724e-23,-2.6455599066738523e-22,6.335699931285918e-22,0,0
-1.2811397832434141e-23,-1.8949125083172288e-22,2.0721807896273795e-21,0,0
-1.1042204798431331e-23,-1.2247901924639367e-22,3.3371207853234986e-21,0,0
-4.0630433125719707e-23,-1.2568684180449337e-21,-1.8340765309683736e-20,0,0
-7.991871981185108e-24,-1.0537977973406165e-23,5.358368910232636e-21,0,0
4.697512538559185e-24,4.650747380408106e-22,1.4184142439876212e-20,0,0
